id,player_nba_id,season,season_type,grid_type,game_id,game_event_id,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,home_team,visiting_team,created_at,updated_at
14282,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,3,1610612760,Oklahoma City Thunder,1,11,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,36,1,0,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14283,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,16,1610612760,Oklahoma City Thunder,1,10,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-117,87,1,1,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14284,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,39,1610612760,Oklahoma City Thunder,1,8,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-58,36,1,0,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14285,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,59,1610612760,Oklahoma City Thunder,1,7,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-183,80,1,0,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14286,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,68,1610612760,Oklahoma City Thunder,1,6,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-6,1,1,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14287,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,82,1610612760,Oklahoma City Thunder,1,4,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14288,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,91,1610612760,Oklahoma City Thunder,1,4,1,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-151,3,1,1,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14289,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,224,1610612760,Oklahoma City Thunder,2,4,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,112,70,1,1,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14290,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,245,1610612760,Oklahoma City Thunder,2,2,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-184,0,1,1,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
14291,201566,2016-17,Regular Season,Shot Chart Detail,0021600011,250,1610612760,Oklahoma City Thunder,2,1,53,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,114,126,1,0,2016-10-26,PHI,OKC,2019-12-04 22:41:21,2019-12-04 22:41:21
