id,player_nba_id,season,season_type,grid_type,game_id,game_event_id,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,home_team,visiting_team,created_at,updated_at
3903,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,11,1610612739,Cleveland Cavaliers,1,10,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-191,65,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3904,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,16,1610612739,Cleveland Cavaliers,1,9,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,19,214,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3905,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,19,1610612739,Cleveland Cavaliers,1,9,16,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-27,65,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3906,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,24,1610612739,Cleveland Cavaliers,1,9,2,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3907,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,35,1610612739,Cleveland Cavaliers,1,7,57,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,21,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3908,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,96,1610612739,Cleveland Cavaliers,1,2,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-92,213,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3909,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,131,1610612739,Cleveland Cavaliers,1,1,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3910,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,168,1610612739,Cleveland Cavaliers,2,9,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,13,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3911,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,182,1610612739,Cleveland Cavaliers,2,8,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,115,218,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3912,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,184,1610612739,Cleveland Cavaliers,2,8,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3913,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,205,1610612739,Cleveland Cavaliers,2,7,8,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3914,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,284,1610612739,Cleveland Cavaliers,2,0,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-178,188,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3915,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,288,1610612739,Cleveland Cavaliers,2,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,247,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3916,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,295,1610612739,Cleveland Cavaliers,3,11,38,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3917,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,299,1610612739,Cleveland Cavaliers,3,10,57,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,8,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3918,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,450,1610612739,Cleveland Cavaliers,4,8,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,3,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3919,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,453,1610612739,Cleveland Cavaliers,4,7,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-83,198,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3920,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,457,1610612739,Cleveland Cavaliers,4,7,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-86,232,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3921,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,482,1610612739,Cleveland Cavaliers,4,5,32,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,2,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3922,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,500,1610612739,Cleveland Cavaliers,4,4,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,52,1,1,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3923,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,521,1610612739,Cleveland Cavaliers,4,3,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,11,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3924,2544,2015-16,Regular Season,Shot Chart Detail,0021500002,556,1610612739,Cleveland Cavaliers,4,0,3,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,0,2015-10-27,CHI,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3925,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,25,1610612739,Cleveland Cavaliers,1,8,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,132,77,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3926,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,32,1610612739,Cleveland Cavaliers,1,7,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3927,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,93,1610612739,Cleveland Cavaliers,1,2,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,155,198,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3928,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,110,1610612739,Cleveland Cavaliers,1,0,23,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,1,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3929,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,113,1610612739,Cleveland Cavaliers,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-79,139,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3930,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,192,1610612739,Cleveland Cavaliers,2,5,40,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-89,174,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3931,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,226,1610612739,Cleveland Cavaliers,2,1,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-140,-29,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3932,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,262,1610612739,Cleveland Cavaliers,3,8,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,200,38,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3933,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,266,1610612739,Cleveland Cavaliers,3,8,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
3934,2544,2015-16,Regular Season,Shot Chart Detail,0021500011,268,1610612739,Cleveland Cavaliers,3,7,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-181,164,1,0,2015-10-28,MEM,CLE,2019-12-02 01:43:11,2019-12-02 01:43:11
