name,prefix_1,prefix_2
Boston Celtics,BOS,boston-celtics
Brooklyn Nets,BKN,brooklyn-nets
New York Knicks,NYK,new-york-knicks
Philadelphia 76ers,PHI,philadelphia-76ers
Toronto Raptors,TOR,toronto-raptors
Golden State Warriors,GSW,golden-state-warriors
Los Angeles Clippers,LAC,los-angeles-clippers
Los Angeles Lakers,LAL,los-angeles-lakers
Phoenix Suns,PHX,phoenix-suns
Sacramento Kings,SAC,sacramento-kings
Chicago Bulls,CHI,chicago-bulls
Cleveland Cavaliers,CLE,cleveland-cavaliers
Detroit Pistons,DET,detroit-pistons
Indiana Pacers,IND,indiana-pacers
Milwaukee Bucks,MIL,milwaukee-bucks
Dallas Mavericks,DAL,dallas-mavericks
Houston Rockets,HOU,houston-rockets
Memphis Grizzlies,MEM,memphis-grizzlies
New Orleans Hornets,NOP,new-orleans-hornets
San Antonio Spurs,SAS,san-antonio-spurs
Atlanta Hawks,ATL,atlanta-hawks
Charlotte Bobcats,CHA,charlotte-bobcats
Miami Heat,MIA,miami-heat
Orlando Magic,ORL,orlando-magic
Washington Wizards,WSH,washington-wizards
Denver Nuggets,DEV,denver-nuggets
Minnesota Timberwolves,MIN,minnesota-timberwolves
Oklahoma City Thunder,OKC,oklahoma-city-thunder
Portland Trail Blazers,POR,portland-trail-blazers
Utah Jazz,UTA,utah-jazz
