id,player_nba_id,season,season_type,grid_type,game_id,game_event_id,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,home_team,visiting_team,created_at,updated_at
1,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,6,1610612744,Golden State Warriors,1,10,56,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,31,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
2,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,9,1610612744,Golden State Warriors,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-176,195,1,0,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
3,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,14,1610612744,Golden State Warriors,1,9,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,9,1,0,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
4,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,19,1610612744,Golden State Warriors,1,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-197,193,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
5,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,36,1610612744,Golden State Warriors,1,7,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
6,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,38,1610612744,Golden State Warriors,1,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,259,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
7,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,46,1610612744,Golden State Warriors,1,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-117,188,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
8,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,55,1610612744,Golden State Warriors,1,5,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-179,228,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
9,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,68,1610612744,Golden State Warriors,1,3,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,239,1,1,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
10,201939,2015-16,Regular Season,Shot Chart Detail,0021500003,82,1610612744,Golden State Warriors,1,3,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-156,232,1,0,2015-10-27,GSW,NOP,2019-12-02 01:42:34,2019-12-02 01:42:34
